Number;Taxon;Age;Clade;Formation;Reference;FABL;CH;BW;ADL;PDL
a1751;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;3.8;;1.7;0.2;0.25
a1752;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;3.7;;2;0.142857143;0.25
a1753;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5;;2.1;;0.222222222
a1754;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;3.9;;2.1;0.142857143;0.2
a1755;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;4.9;;3;0.25;0.222222222
a1756;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;4.3;;2;0.142857143;0.222222222
a1757;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;4.1;;2.5;0.142857143;0.222222222
a1758;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;8.9;;4.5;0.25;
a1759;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.9;;2.6;0.166666667;0.25
a1760;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.4;;2.5;0.133333333;0.2
a1761;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;4.5;;1.9;0.166666667;0.222222222
a1762;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;3.4;;1.6;;0.25
a1763;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;4.6;;2;;0.222222222
a1764;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.9;;2.7;0.2;0.25
a1765;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.8;;2.4;0.142857143;0.25
a1766;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.4;;2.5;0.2;0.25
a1767;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;6.4;;2.7;0.2;0.25
a1768;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;4.4;;;0.227272727;0.25
a1769;Dinosaur Park Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;3.1;;1.8;;0.227272727
a1770;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;2.7;4.2;1.1;;0.153846154
a1771;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;2;4.6;1;0;0.166666667
a1772;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;2.4;4.8;1.1;;0.181818182
a1773;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;2.2;4.1;0.7;0;0.142857143
a1774;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.6;6.7;1.7;0;0.2
a1775;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;3.7;6.7;1.8;0;0.235294118
a1776;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;1.9;2.8;0.7;0;0.153846154
a1777;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;2.4;3.9;0.9;0;0.153846154
a1778;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;1.9;5;1;0;0.2
a1779;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.2;6.3;1.5;0;0.222222222
a1780;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;3.9;9;1.9;;0.235294118
a1781;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.3;11.2;2;;0.2
a1782;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4;9.9;2.1;0;0.25
a1783;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.5;13;2.2;;0.25
a1784;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;3.8;8.2;1.4;;0.2
a1785;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.9;9.6;2.2;;0.25
a1786;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;13;2.3;;0.25
a1787;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.4;13;2.5;0;0.25
a1788;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.9;13;2.8;;0.266666667
a1789;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;12;2.1;;0.2
a1790;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.3;11.8;2.3;;0.235294118
a1791;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.5;7.8;1.8;;0.210526316
a1792;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.2;7.5;1.7;;0.25
a1793;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.9;9.6;2.2;;0.25
a1794;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.063;8.8;2.32;0.158730159;0.263157895
a1795;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;9.2;2.3;;0.25
a1796;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.9;10.5;2.1;;0.25
a1797;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.7;10.4;2.2;;0.235294118
a1798;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.2;8;1.5;;0.222222222
a1799;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.2;10.5;2.5;0;0.266666667
a1800;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.7;10.3;2;0;0.2
a1801;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.9;13;2.7;0;0.25
a1802;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.8;9.2;2;;0.25
a1803;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.1;11.7;2.1;0;0.2
a1804;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.5;9.5;2.4;;0.25
a1805;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.7;11.2;2.1;;0.222222222
a1806;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.8;9.4;2.2;;0.25
a1807;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.5;11.2;3.2;0;0.2
a1808;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.6;10.8;2.6;;0.25
a1809;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;7.9;16;2.8;;0.266666667
a1810;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.5;14;2.7;;0.235294118
a1811;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.1;9;2.2;;0.181818182
a1812;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.4;13;2.6;0;0.266666667
a1813;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;9;1.9;;0.235294118
a1814;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.3;9;2.1;;0.25
a1815;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;3.5;7.6;1.7;0;0.25
a1816;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;3.7;8.3;1.9;;0.25
a1817;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.7;9.2;2.4;;0.266666667
a1818;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;10.5;2.4;;0.25
a1819;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6;13;2.3;0;0.285714286
a1820;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.7;11;2.2;0;0.266666667
a1821;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;3.5;7.8;2;0;0.266666667
a1822;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;2.9;7;1.7;0;0.222222222
a1823;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;12;2.3;;0.25
a1824;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;3.3;6.2;1.5;0;0.235294118
a1825;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.1;10.2;2.4;;0.25
a1826;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;3.8;6.3;1.6;;0.222222222
a1827;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.9;9.4;2.2;0;0.19047619
a1828;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Larson and Currie 2013;4.233;8.466;2.32;0.153846154;0.25
a1829;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Larson and Currie 2013;3.984;7.92;1.96;0.14084507;0.227272727
a1830;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.15;9.55;;0.1632;0.2204
a1831;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.7;10.97;;;0.23
a1832;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.1;7.54;;0.1672;0.212
a1833;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;4.69;8.005;2.28403;0.1458;0.2788
a1834;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.98;11.66;2.47572;0.171;0.218
a1835;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.77;11.25;2.48687;;0.1802
a1836;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;4.36;9.195;2.44596;;0.234
a1837;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;4.89;8.74;2.45478;0.182;0.262
a1838;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;4.26;7.19;1.9809;0.1426;0.232
a1839;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.26;10.78;2.367;0.1934;0.265
a1840;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;3.93;5.66;1.8078;;0.228
a1841;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.24;10.8;2.76672;;0.248
a1842;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.74;11.6;2.67484;;0.234
a1843;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;3.67;4.42;1.60746;;0.272
a1844;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.12;8.18;2.36544;0.1642;0.246
a1845;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.42;9.21;2.37396;0.1616;0.238
a1846;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;6.53;9.66;3.72863;0.164;0.28
a1847;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;4.7;7.67;2.1667;0.1188;0.2304
a1848;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.6;8.31;2.4472;0.1158;0.184
a1849;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.62;10.04;2.37164;;0.248
a1850;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;4.326;9.2;;0.2088;0.282
a1851;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.77;11.03;2.40609;0.1452;0.222
a1852;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.79;11.54;3.15555;;0.262
a1853;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;4.66;10.1;2.57232;;0.208
a1854;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;4.75;7.58;2.375;0.2052;0.233
a1855;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;7.5;12.85;3.675;;0.204
a1856;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;7.07;8.38;3.13201;;0.1868
a1857;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.34;10.1;2.82486;;0.258
a1858;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;1.69;2.198;0.83486;0.1634;0.1844
a1859;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Park 2000;5.7;11.3;2.4;0.166666667;0.25
a1860;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.1;9;2.2;0.15625;0.238095238
a1861;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;3.7;5;;0.166666667;0.25
a1862;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;2.1;3;;0;0.166666667
a1863;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;4.3;7;;0.125;0.25
a1864;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.1;9;;0.15625;0.217391304
a1865;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;3.1;5;;0.111111111;0.2
a1866;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.9;10;;0.2;0.238095238
a1867;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;5.3;9;;0.2;0.25
a1868;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.3;;2.6;;0.181818182
a1869;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;;12.3;1.9;;0.25
a1870;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.3;;2.3;;0.25
a1871;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.5;;2.2;;0.2
a1872;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;this study;3.45;;1.5;;0.208333333
a1873;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;2.3;;;0.125;0.2084
a1874;Dinosaur Park Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Farlow et al. 1991;3.3;;;0.1428;0.25
a1875;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.1;10;2.4;;0.307692308
a1876;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.3;11;3.2;;0.285714286
a1877;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.7;12.5;2.5;;0.285714286
a1878;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.8;13;2.5;;0.285714286
a1879;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;7.2;15;3.2;;0.333333333
a1880;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.4;10.5;2.5;;0.285714286
a1881;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.5;13;3;;0.307692308
a1882;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;7.9;14;3.1;;0.307692308
a1883;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.6;15.5;3;;0.307692308
a1884;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.4;11.5;3.1;;0.307692308
a1885;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.8;11;2.5;;0.266666667
a1886;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.3;12;3.4;;0.285714286
a1887;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6;12.5;3;;0.307692308
a1888;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.4;12;3;;0.333333333
a1889;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Park 2000;5.9;9;2.3;0;0.333333333
a1890;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.3;15.5;3;;0.333333333
a1891;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.3;11.2;2.4;;0.285714286
a1892;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.4;11.7;3;;0.307692308
a1893;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;7;12;3;;0.333333333
a1894;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.8;13.7;3.3;;0.333333333
a1895;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.3;9.3;2.1;;0.307692308
a1896;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.8;11.5;2.6;;0.285714286
a1897;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;11;2.3;;0.285714286
a1898;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.4;14;2.5;;0.333333333
a1899;Dinosaur Park Zapsalis abradens;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6;;2.5;;0.285714286
a1900;Oldman (southern Upper Unit) Dromaeosaurus albertensis;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.5;11.5;2.9;;0.307692308
a1901;Oldman (southern Upper Unit) Dromaeosaurus albertensis;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.7;11;2.8;;0.285714286
a1902;Oldman (southern Upper Unit) Dromaeosaurus albertensis;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.9;10.5;3.9;;0.25
a1903;Oldman (southern Upper Unit) Dromaeosaurus albertensis pmx;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.4;;3.3;;0.266666667
a1904;Oldman (southern Upper Unit) Dromaeosaurus albertensis pmx;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.1;;3.8;;0.333333333
a1905;Oldman (southern Upper Unit) Dromaeosaurus albertensis pmx;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.7;;3.1;;0.307692308
a1906;Oldman (southern Upper Unit) Dromaeosaurus albertensis pmx;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.9;;3.1;;0.266666667
a1907;Oldman (southern Upper Unit) Dromaeosaurus albertensis pmx;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;;3.3;;0.307692308
a1908;Oldman (southern Upper Unit) Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;this study;3.7;5.13;1.4;0.142857143;0.204081633
a1909;Oldman (southern Upper Unit) Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;this study;4.56;8.88;2.4;0.151515152;0.208333333
a1910;Oldman (southern Upper Unit) Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;this study;4.08;7.92;2.24;;0.238095238
a1911;Oldman (southern Upper Unit) Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;this study;4.9995;7.5447;2.0907;0.178571429;0.256410256
a1912;Oldman (southern Upper Unit) Saurornitholestes;Judithian;Dromaeosauridae;Dinosaur Park;this study;5.454;7.7265;2.6361;0.2;0.243902439
a1913;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;2.8;6.5;1.4;0;0.222222222
a1914;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.4;8.5;1.9;;0.25
a1915;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;13.5;2.2;0;0.222222222
a1916;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5;12.5;2.2;;0.25
a1917;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.3;11.3;3.2;;0.266666667
a1918;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;6.9;13;3.1;;0.25
a1919;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;2;5;1.1;0;0.2
a1920;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.4;10.3;2.3;;0.25
a1921;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Currie and Varricchio 2004;5.1;9;2.3;0.166666667;0.25
a1922;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;3.8;7.91;2.2458;;0.258
a1923;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.08;9;2.14376;0.1672;0.256
a1924;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Longrich 2008;5.28;9.08;2.12784;0.163;0.1974
a1925;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;4.7;;2;;0.25
a1926;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.8;;3.1;;0.285714286
a1927;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;;9.2;2.2;0;0.266666667
a1928;Oldman (southern Upper Unit) Saurornitholestes langstoni;Judithian;Dromaeosauridae;Dinosaur Park;Sankey et al. 2002;5.1;;2.4;;0.25
a1929;pDinosaur Park Dromaeosauridae indet.;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.7;8.4;1.7;;
a1930;pDinosaur Park Dromaeosauridae indet.;Judithian;Dromaeosauridae;pDinosaur Park;this study;4.4;8.7;1.5;;
a1931;pDinosaur Park Dromaeosaurus albertensis;Judithian;Dromaeosauridae;pDinosaur Park;Farlow et al. 1991;7;;;0.333333333;0.357142857
