MARK ID;Biomechanical Group;SURFACE;VOLUME;MAXIMUM DEPTH;MEAN DEPTH;MAXIMUM LENGTH;MAXIMUM WIDTH;MAXIMUM DEPTH;AREA;WIDTH;ROUGHNESS;OPENING ANGLE;FLOOR RADIUS
NGO25-1-5;Bone cruncher;1260000;43400000;82.13;34.45;1680.25;1370.79;86.17;34400;755;2.81;159.45;929.77
NGO25-2 - 1;Bone cruncher;3020000;190000000;209.49;62.96;4320.04;1377.22;170.16;46600;455;4.54;82.14;244.91
NGO25-2 - 2A;Bone cruncher;3490000;500000000;364.23;143.36;3644.29;1463.64;346.69;177000;980;9.6;106.07;490.44
NGO25-2 - 2B;Bone cruncher;998000;54700000;189.92;54.74;1777.57;941.88;195.75;90800;910;8.79;135.62;589.11
NGO25-2 - 3A;Bone cruncher;3310000;101000000;106.21;30.56;3852.18;2042.71;90.67;28300;850;4.84;157.14;1315.58
NGO25-2 - 3B;Bone cruncher;1090000;47600000;128.57;43.75;2307.12;759.98;130.11;41700;660;6.7;132.51;465.78
NGO25-2 - 3C;Bone cruncher;744000;30200000;98.44;40.51;1565.14;694.23;90.44;25000;565;3.66;145.22;508.01
NGO25-2 - 4A;Bone cruncher;394000;16700000;126.34;42.45;706.52;857.35;119.7;47000;840;4.45;146.99;827.3
NGO25-2 - 4B;Bone cruncher;124000;3590000;63.4;28.87;592.38;282.2;63.23;9750;295;2.24;139.5;226.13
NGO25-2 - 5;Bone cruncher;1770000;98600000;148.6;55.57;3522.16;1263.57;135.27;77800;1300;5.56;160.69;2288.07
NGO25-1 - 6;Bone cruncher;2660000;298000000;261.58;111.68;1980.23;1881.95;246.41;240000;1995;13.88;144.27;2741.71
DZHP1-1;Bone cruncher;8220000;1290000000;272.72;157.14;4214.52;2139.35;150.26;167000;2340;5.99;168.84;6167.43
DZHP1-2;Bone cruncher;871000;44300000;124.84;50.91;1125.83;968.01;129.1;72200;1000;6.12;150.9;1138.32
DZHP1-3;Bone cruncher;1030000;88600000;200.15;85.68;1319.7;931.22;184.89;76400;1030;6.38;140.35;878.22
DZHP2-1;Bone cruncher;7400000;1350000000;482.45;182.81;3288.04;3037.92;472.81;953000;3220;11.38;122.33;7569.14
DZHP2-2;Bone cruncher;5000000;507000000;286.26;101.29;3148.47;2208.34;292.77;298000;2270;12.18;154.88;2764.7
DZHP3-1A;Bone cruncher;3390000;210000000;226.45;62.1;1644.73;1730.05;202.59;115000;1365;5.01;144.5;1630.7
DZHP3-1B;Bone cruncher;2700000;168000000;191.53;62.23;2833.53;981.61;179.42;117000;1545;4.82;149.7;1655.59
DZHP3-2;Bone cruncher;4930000;464000000;249.24;94.24;4255.88;1624.56;269.66;325000;2055;6.56;122.31;2418.8
DZHP4-1;Bone cruncher;4960000;485000000;267.75;97.76;3702.18;1916.45;281.21;311000;2160;9.37;138.6;2591.75
DZHP4-3;Bone cruncher;3660000;292000000;182.66;79.79;2845.76;1760.91;206.49;191000;1660;8.67;153.2;1867.69
DZHP5-1;Bone cruncher;12100000;831000000;197.69;68.63;11203.91;1431.17;181.47;133000;1515;4.13;150.27;1795.53
DZHP5-2;Bone cruncher;7640000;496000000;150.02;59.48;7680.75;1164.36;144.41;105000;1470;3.28;158.2;2790.63
DZHP5-3;Bone cruncher;3170000;160000000;102.34;50.33;4157.58;897.56;107.35;77400;1425;2.44;166.13;3785.73
DZHP5-5;Bone cruncher;3250000;212000000;164.81;65.23;3119.15;1294.85;175.95;120000;1460;2.9;153.24;1638.69
DZHP5-7;Bone cruncher;9070000;847000000;219.49;93.43;5529.54;2386.25;191.83;229000;2620;5.73;161.96;4922.99
DZHP5-11;Bone cruncher;13300000;112000000;202.67;83.55;1627.91;721.68;205.35;112000;1040;7.68;148.21;1013.92
DZHP5-12A;Bone cruncher;830000;18800000;59.6;22.66;2355.85;613.77;61.39;15900;580;3.27;163.1;958.97
DZHP5-13;Bone cruncher;2530000;109000000;121.41;43.01;3674.14;775.04;132.48;64900;1180;3.41;153.71;1962.43
DZHP5-15;Bone cruncher;689000;38200000;117.76;55.42;801.29;1054.56;115.68;61800;1060;4.52;153.2;1201.19
DZHP5-16;Bone cruncher;3160000;329000000;268.33;104.18;2161.22;1901.36;239.04;204000;1985;15.13;150.93;2140.47
DZHP5-17;Bone cruncher;10400000;2100000000;493.03;203.31;4735.33;2980.85;479.02;785000;3255;6.88;146.72;3125.76
DZHP5-18;Bone cruncher;1470000;8,39E+11;149.71;60.43;1128.09;1096.05;136.08;79400;1155;136.74;136.74;1907.98
DZHP6-1A;Bone cruncher;614000;19800000;80.35;32.22;959.92;916.31;72.65;34200;860;3.08;162.61;1519.75
DZHP6-1B;Bone cruncher;2440000;79800000;86.76;32.76;3568.05;1081.82;85.36;66500;1785;8.48;173.14;9290.13
DZHP6-4;Bone cruncher;21400000;4770000000;595.21;223.22;8309.44;3810.5;506.87;955000;3685;14.18;148.8;3617.7
DZHP6-5;Bone cruncher;8700000;1410000000;448.4;162.33;3814.52;2343.27;452.69;686000;3090;10.43;149.52;3545.18
DZHP6-6;Bone cruncher;9730000;2420000000;655.89;248.27;4455;2440.24;580.7;619000;3250;20.21;142.73;7327.62
DZHP6-7;Bone cruncher;12200000;2040000000;412.97;167.01;4199.33;3375.58;358.64;475000;2680;14.02;149.89;3346.94
DZHP6-8;Bone cruncher;1910000;242000000;242.75;126.94;1837.84;1234.45;239.18;309000;1940;8.01;154.44;2419.89
DZHP9-1;Bone cruncher;1840000;217000000;220.32;117.67;1999.34;1281.72;207.36;163000;1390;2.95;130.21;1362.2
DZHT1-2;Bone cruncher;13000000;1170000000;252.74;89.67;9324.77;2020.67;245.93;217000;1895;6.45;155.75;2359.01
DZHT1-3;Bone cruncher;12300000;835000000;173.5;67.97;9557.73;1734.4;173.75;142000;1705;5.77;155.12;2944.49
